acao;tecnica;validacao_tamanho_base;validacao_y_pred_quant_0;validacao_y_pred_quant_1;validacao_y_true_quant_0;validacao_y_true_quant_1;validacao_accuracy;validacao_f1_score;validacao_log_loss;validacao_precision;validacao_recall;validacao_roc_auc_score
PETRM25;GaussianProcessClassifier;15;1;14;6;9;0.5333333333333333;0.6956521739130435;16.118415489930396;0.5714285714285714;0.8888888888888888;0.4444444444444444
PETRM25;SGDClassifier;15;1;14;6;9;0.5333333333333333;0.6956521739130435;16.118415489930396;0.5714285714285714;0.8888888888888888;0.4444444444444444
PETRM25;LabelSpreading;15;3;12;6;9;0.4;0.5714285714285715;20.72358567591849;0.5;0.6666666666666666;0.3333333333333333
PETRM25;ExtraTreeClassifier;15;2;13;6;9;0.7333333333333333;0.8181818181818181;9.210553597957567;0.6923076923076923;1.0;0.6666666666666667
PETRM25;KNeighborsClassifier;15;5;10;6;9;0.6666666666666666;0.7368421052631577;11.513085384456266;0.7;0.7777777777777778;0.6388888888888888
PETRM26;LogisticRegression;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;KNeighborsClassifier;15;12;3;5;10;0.5333333333333333;0.4615384615384615;16.11809565095832;1.0;0.3;0.65
PETRM26;DecisionTreeClassifier;15;10;5;5;10;0.5333333333333333;0.5333333333333333;16.118148957453666;0.8;0.4;0.6
PETRM26;RandomForestClassifier;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;BernoulliNB;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;SGDClassifier;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;ExtraTreeClassifier;15;14;1;5;10;0.4;0.18181818181818182;20.723265836946407;1.0;0.1;0.55
PETRM26;QuadraticDiscriminantAnalysis;15;15;0;5;10;0.3333333333333333;0.0;23.025850929940454;0.0;0.0;0.5
PETRM26;GradientBoostingClassifier;15;10;5;5;10;0.4;0.4;20.7233724499371;0.6;0.3;0.45
PETRM26;LabelSpreading;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;Perceptron;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;MLPClassifier;15;15;0;5;10;0.3333333333333333;0.0;23.025850929940454;0.0;0.0;0.5
PETRM26;ExtraTreesClassifier;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;PassiveAggressiveClassifier;15;1;14;5;10;0.6;0.75;13.815777090441005;0.6428571428571429;0.9;0.45
PETRM26;LinearSVC;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;AdaBoostClassifier;15;11;4;5;10;0.4666666666666667;0.4285714285714285;18.420734050447713;0.75;0.3;0.55
PETRM26;RidgeClassifierCV;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;CalibratedClassifierCV;15;14;1;5;10;0.4;0.18181818181818182;20.723265836946407;1.0;0.1;0.55
PETRM26;LinearDiscriminantAnalysis;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;RidgeClassifier;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;BaggingClassifier;15;15;0;5;10;0.3333333333333333;0.0;23.025850929940454;0.0;0.0;0.5
PETRM26;GaussianProcessClassifier;15;0;15;5;10;0.6666666666666666;0.8;11.51319199744696;0.6666666666666666;1.0;0.5
PETRM26;LabelPropagation;15;5;10;5;10;0.7333333333333333;0.8000000000000002;9.210446984966875;0.8;0.8;0.7000000000000001
PETRP24;ExtraTreesClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;DecisionTreeClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;BaggingClassifier;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;Perceptron;6;6;0;1;5;0.16666666666666666;0.0;28.78231366242557;0.0;0.0;0.5
PETRP24;LinearDiscriminantAnalysis;6;1;5;1;5;0.6666666666666666;0.8000000000000002;11.513058731208593;0.8;0.8;0.4
PETRP24;CalibratedClassifierCV;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
PETRP24;QuadraticDiscriminantAnalysis;6;0;6;1;5;0.8333333333333334;0.9090909090909091;5.756595998723481;0.8333333333333334;1.0;0.5
